Date,Auc Price,Median Price,Cover Ratio,Spot Value,Auction Spot Diff,Median Spot Diff,Premium/discount-settle,net_speculators,spec_long_%,spec_short_%,Long/Short
2018-06-04,15.28,15.23,1.98,15.28,0.0,-0.049999999999998934,0.0006373486297004462,50668.63,5.4,0.39,13.846153846153847
2018-06-05,16.35,16.33,2.28,16.42,-0.07,-0.09000000000000341,0.0006373486297004462,50668.63,5.4,0.39,13.846153846153847
2018-06-06,15.7,15.68,2.31,15.81,-0.11,-0.13000000000000078,0.0006373486297004462,50668.63,5.4,0.39,13.846153846153847
2018-06-07,16.14,15.99,2.32,16.04,0.1,-0.049999999999998934,0.0006373486297004462,50668.63,5.4,0.39,13.846153846153847
2018-06-08,15.78,15.8,1.77,15.87,-0.09,-0.06999999999999851,0.0006373486297004462,50668.63,5.4,0.39,13.846153846153847
2018-06-09,15.78,15.8,1.77,15.87,-0.09,-0.06999999999999851,0.0006373486297004462,50668.63,5.4,0.39,13.846153846153847
2018-06-10,15.78,15.8,1.77,15.87,-0.09,-0.06999999999999851,0.0006373486297004462,50838.47,5.4,0.39,13.846153846153847
2018-06-11,15.7,15.59,2.03,15.69,0.01,-0.09999999999999964,0.0006373486297004462,50838.47,5.4,0.39,13.846153846153847
2018-06-12,15.08,15.13,1.63,15.2,-0.12,-0.06999999999999851,-0.007894736842105263,50838.47,5.4,0.39,13.846153846153847
2018-06-13,15.08,15.13,1.63,15.2,-0.12,-0.06999999999999851,-0.007894736842105263,50838.47,5.4,0.39,13.846153846153847
2018-06-14,15.44,15.3,2.27,15.39,0.05,-0.08999999999999986,0.0032488628979857053,50838.47,5.4,0.39,13.846153846153847
2018-06-15,14.62,14.69,1.68,14.79,-0.17,-0.09999999999999964,-0.01149425287356322,50838.47,5.4,0.39,13.846153846153847
2018-06-16,14.62,14.69,1.68,14.79,-0.17,-0.09999999999999964,-0.01149425287356322,50838.47,5.4,0.39,13.846153846153847
2018-06-17,14.62,14.69,1.68,14.79,-0.17,-0.09999999999999964,-0.01149425287356322,52749.7,5.46,0.36,15.166666666666668
2018-06-18,14.52,14.39,2.03,14.44,0.08,-0.049999999999998934,0.00554016620498615,52749.7,5.46,0.36,15.166666666666668
2018-06-19,14.35,14.24,2.19,14.37,-0.02,-0.129999999999999,-0.0013917884481558804,52749.7,5.46,0.36,15.166666666666668
2018-06-20,14.43,14.28,2.87,14.37,0.06,-0.08999999999999986,0.004175365344467641,52749.7,5.46,0.36,15.166666666666668
2018-06-21,14.2,14.2,2.5,14.26,-0.06,-0.0600000000000005,-0.004207573632538569,52749.7,5.46,0.36,15.166666666666668
2018-06-22,14.78,14.65,3.45,14.7,0.08,-0.049999999999998934,0.0054421768707483,52749.7,5.46,0.36,15.166666666666668
2018-06-23,14.78,14.65,3.45,14.7,0.08,-0.049999999999998934,0.0054421768707483,52749.7,5.46,0.36,15.166666666666668
2018-06-24,14.78,14.65,3.45,14.7,0.08,-0.049999999999998934,0.0054421768707483,49905.83,5.37,0.52,10.326923076923077
2018-06-25,15.03,15.0,3.06,15.06,-0.03,-0.0600000000000005,-0.00199203187250996,49905.83,5.37,0.52,10.326923076923077
2018-06-26,14.86,14.76,2.36,14.82,0.04,-0.0600000000000005,0.002699055330634278,49905.83,5.37,0.52,10.326923076923077
2018-06-27,14.86,14.76,2.36,14.82,0.04,-0.0600000000000005,0.002699055330634278,49905.83,5.37,0.52,10.326923076923077
2018-06-28,15.22,15.17,2.24,15.25,-0.03,-0.08000000000000007,-0.0019672131147540984,49905.83,5.37,0.52,10.326923076923077
2018-06-29,14.85,14.86,2.67,14.96,-0.11,-0.10000000000000142,-0.007352941176470588,49905.83,5.37,0.52,10.326923076923077
2018-06-30,14.85,14.86,2.67,14.96,-0.11,-0.10000000000000142,-0.007352941176470588,49905.83,5.37,0.52,10.326923076923077
2018-07-01,14.85,14.86,2.67,14.96,-0.11,-0.10000000000000142,-0.007352941176470588,49170.57,5.38,0.65,8.276923076923076
2018-07-02,14.95,14.8,3.52,14.88,0.07,-0.08000000000000007,0.004704301075268817,49170.57,5.38,0.65,8.276923076923076
2018-07-03,15.15,15.1,3.74,15.08,0.07,0.019999999999999574,0.004641909814323608,49170.57,5.38,0.65,8.276923076923076
2018-07-04,15.35,15.1,4.69,15.15,0.2,-0.05000000000000071,0.013201320132013201,49170.57,5.38,0.65,8.276923076923076
2018-07-05,15.4,15.31,3.31,15.4,0.0,-0.08999999999999986,0.0,49170.57,5.38,0.65,8.276923076923076
2018-07-06,15.55,15.52,2.59,15.6,-0.05,-0.08000000000000007,-0.0032051282051282055,49170.57,5.38,0.65,8.276923076923076
2018-07-07,15.55,15.52,2.59,15.6,-0.05,-0.08000000000000007,-0.0032051282051282055,49170.57,5.38,0.65,8.276923076923076
2018-07-08,15.55,15.52,2.59,15.6,-0.05,-0.08000000000000007,-0.0032051282051282055,49675.31,5.37,0.62,8.661290322580646
2018-07-09,15.85,15.8,3.37,15.9,-0.05,-0.09999999999999964,-0.0031446540880503146,49675.31,5.37,0.62,8.661290322580646
2018-07-10,16.15,16.06,3.35,16.12,0.03,-0.060000000000002274,0.0018610421836228286,49675.31,5.37,0.62,8.661290322580646
2018-07-11,16.15,16.06,3.35,16.12,0.03,-0.060000000000002274,0.0018610421836228286,49675.31,5.37,0.62,8.661290322580646
2018-07-12,16.22,16.2,2.87,16.32,-0.1,-0.120000000000001,-0.006127450980392157,49675.31,5.37,0.62,8.661290322580646
2018-07-13,15.8,15.85,2.57,15.98,-0.18,-0.13000000000000078,-0.011264080100125156,49675.31,5.37,0.62,8.661290322580646
2018-07-14,15.8,15.85,2.57,15.98,-0.18,-0.13000000000000078,-0.011264080100125156,49675.31,5.37,0.62,8.661290322580646
2018-07-15,15.8,15.85,2.57,15.98,-0.18,-0.13000000000000078,-0.011264080100125156,51059.21,5.5,0.69,7.971014492753624
2018-07-16,16.14,16.11,3.64,16.19,-0.05,-0.08000000000000185,-0.0030883261272390363,51059.21,5.5,0.69,7.971014492753624
2018-07-17,15.87,15.82,3.48,15.91,-0.04,-0.08999999999999986,-0.00251414204902577,51059.21,5.5,0.69,7.971014492753624
2018-07-18,16.17,16.09,3.94,16.21,-0.04,-0.120000000000001,-0.0024676125848241827,51059.21,5.5,0.69,7.971014492753624
2018-07-19,16.46,16.45,2.17,16.53,-0.07,-0.08000000000000185,-0.004234724742891712,51059.21,5.5,0.69,7.971014492753624
2018-07-20,16.9,16.9,2.88,16.93,-0.03,-0.030000000000001137,-0.0017720023626698169,51059.21,5.5,0.69,7.971014492753624
2018-07-21,16.9,16.9,2.88,16.93,-0.03,-0.030000000000001137,-0.0017720023626698169,51059.21,5.5,0.69,7.971014492753624
2018-07-22,16.9,16.9,2.88,16.93,-0.03,-0.030000000000001137,-0.0017720023626698169,54874.03,5.74,0.6,9.566666666666668
2018-07-23,17.2,17.0,3.02,17.1,0.1,-0.10000000000000142,0.005847953216374269,54874.03,5.74,0.6,9.566666666666668
2018-07-24,17.45,17.41,3.41,17.52,-0.07,-0.10999999999999943,-0.0039954337899543385,54874.03,5.74,0.6,9.566666666666668
2018-07-25,17.45,17.41,3.41,17.52,-0.07,-0.10999999999999943,-0.0039954337899543385,54874.03,5.74,0.6,9.566666666666668
2018-07-26,16.99,16.97,2.83,17.07,-0.08,-0.10000000000000142,-0.0046865846514352666,54874.03,5.74,0.6,9.566666666666668
2018-07-27,16.91,16.91,2.91,17.03,-0.12,-0.120000000000001,-0.007046388725778038,54874.03,5.74,0.6,9.566666666666668
2018-07-28,16.91,16.91,2.91,17.03,-0.12,-0.120000000000001,-0.007046388725778038,54874.03,5.74,0.6,9.566666666666668
2018-07-29,16.91,16.91,2.91,17.03,-0.12,-0.120000000000001,-0.007046388725778038,54438.12,5.57,0.55,10.127272727272727
2018-07-30,16.9,16.87,3.01,16.95,-0.05,-0.0799999999999983,-0.0029498525073746317,54438.12,5.57,0.55,10.127272727272727
2018-07-31,16.87,16.7,2.74,16.79,0.08,-0.08999999999999986,0.004764740917212627,54438.12,5.57,0.55,10.127272727272727
2018-08-01,17.38,17.31,6.56,17.39,-0.01,-0.08000000000000185,-0.0005750431282346176,54438.12,5.57,0.55,10.127272727272727
2018-08-02,17.58,17.52,5.5,17.55,0.03,-0.030000000000001137,0.0017094017094017092,54438.12,5.57,0.55,10.127272727272727
2018-08-03,17.62,17.55,4.12,17.59,0.03,-0.03999999999999915,0.0017055144968732233,54438.12,5.57,0.55,10.127272727272727
2018-08-04,17.62,17.55,4.12,17.59,0.03,-0.03999999999999915,0.0017055144968732233,54438.12,5.57,0.55,10.127272727272727
2018-08-05,17.62,17.55,4.12,17.59,0.03,-0.03999999999999915,0.0017055144968732233,57345.88,5.91,0.63,9.380952380952381
2018-08-06,17.62,17.57,4.7,17.61,0.01,-0.03999999999999915,0.0005678591709256105,57345.88,5.91,0.63,9.380952380952381
2018-08-07,17.47,17.44,5.23,17.5,-0.03,-0.05999999999999872,-0.0017142857142857142,57345.88,5.91,0.63,9.380952380952381
2018-08-08,17.47,17.44,5.23,17.5,-0.03,-0.05999999999999872,-0.0017142857142857142,57345.88,5.91,0.63,9.380952380952381
2018-08-09,17.47,17.32,5.0,17.37,0.1,-0.05000000000000071,0.0057570523891767415,57345.88,5.91,0.63,9.380952380952381
2018-08-10,17.72,17.58,4.77,17.63,0.09,-0.05000000000000071,0.005104934770277935,57345.88,5.91,0.63,9.380952380952381
2018-08-11,17.72,17.58,4.77,17.63,0.09,-0.05000000000000071,0.005104934770277935,57345.88,5.91,0.63,9.380952380952381
2018-08-12,17.72,17.58,4.77,17.63,0.09,-0.05000000000000071,0.005104934770277935,59152.83,6.02,0.63,9.555555555555555
2018-08-13,17.93,17.81,4.35,17.92,0.01,-0.11000000000000298,0.0005580357142857143,59152.83,6.02,0.63,9.555555555555555
2018-08-14,18.03,18.0,4.96,18.07,-0.04,-0.07000000000000028,-0.002213613724405091,59152.83,6.02,0.63,9.555555555555555
2018-08-15,18.03,18.0,4.96,18.07,-0.04,-0.07000000000000028,-0.002213613724405091,59152.83,6.02,0.63,9.555555555555555
2018-08-16,18.0,17.94,3.2,17.98,0.02,-0.03999999999999915,0.0011123470522803114,59152.83,6.02,0.63,9.555555555555555
2018-08-17,18.1,18.07,2.79,18.14,-0.04,-0.07000000000000028,-0.002205071664829107,59152.83,6.02,0.63,9.555555555555555
2018-08-18,18.1,18.07,2.79,18.14,-0.04,-0.07000000000000028,-0.002205071664829107,59152.83,6.02,0.63,9.555555555555555
2018-08-19,18.1,18.07,2.79,18.14,-0.04,-0.07000000000000028,-0.002205071664829107,59693.01,6.19,0.72,8.597222222222223
2018-08-20,18.2,18.1,3.82,18.2,0.0,-0.09999999999999787,0.0,59693.01,6.19,0.72,8.597222222222223
