Date,id,Close,l1_open,l1_high,l1_low,l1_close,l1_volume,l1_EMA20,l1_MA200,l1_MA50,l1_MA20,l1_RET,l1_MACD,l1_RSI,l1_BB,l1_EMA50,l1_EMA200,l1_OPCL
24/09/2010,1.00,15.3,15.08,15.1,14.82,14.9,8308,24.29409897,23.3669,23.9123,24.4819,-0.538304506,-0.098995442,43.29175203,0.053622202,24.14112868,23.3683,1.007493786
27/09/2010,1.00,15.39,14.85,15.34,14.82,15.3,10834,24.30608009,23.3704,23.9325,24.4814,1.665285867,-0.071753882,53.61587337,0.442513657,24.15206088,23.37876368,0.981572406
28/09/2010,1.00,15.67,15.34,15.51,15.23,15.39,8630,24.32549301,23.3755,23.9485,24.4784,0.368551878,-0.04610383,55.52975361,0.531461749,24.16609379,23.39001877,0.997960008
29/09/2010,1.00,15.64,15.39,15.76,15.22,15.67,11318,24.36972459,23.38595,23.9775,24.4974,1.142395522,-0.010565486,60.93084095,0.771331657,24.19055678,23.40394794,0.988705077
30/09/2010,1.00,15.35,15.7,15.75,15.55,15.64,6808,24.40783841,23.39625,24.0105,24.5099,-0.121017027,0.010186366,60.36674763,0.73511559,24.21327612,23.4175395,1.002423273
1/10/2010,1.00,15.38,15.6,15.65,15.35,15.35,8721,24.41946443,23.41095,24.0329,24.4874,-1.171248672,0.006519509,53.9172499,0.536774496,24.22569274,23.42860776,1.010216633
4/10/2010,1.00,15.27,15.37,15.48,15.23,15.38,6133,24.4252216,23.42435,24.0605,24.4694,0.122599602,-0.000149758,52.65497388,0.507569427,24.23566166,23.43906838,0.999591835
5/10/2010,1.00,15.55,15.3,15.37,15.21,15.27,5976,24.42185913,23.43575,24.0953,24.4484,-0.448981424,-0.01090366,50.36937914,0.435711662,24.24171022,23.44852939,1.001230017
6/10/2010,1.00,15.57,15.3,15.59,15.28,15.55,7288,24.44738928,23.4498,24.1309,24.4384,1.148016187,0.001259811,57.06042067,0.781103561,24.25928629,23.46088134,0.989866193
7/10/2010,1.00,15.5,15.58,15.61,15.43,15.57,7821,24.47048744,23.46395,24.1671,24.4369,0.081070454,0.008001608,57.0604352,0.786545759,24.2761731,23.47311038,1.000405024
8/10/2010,1.00,15.57,15.6,15.62,15.4,15.5,9754,24.48186324,23.47815,24.1965,24.4364,-0.283516742,0.004591752,54.23394947,0.675710369,24.28847612,23.48422272,1.004061755
11/10/2010,1.00,15.84,15.49,15.58,15.41,15.57,5903,24.50167948,23.4925,24.2249,24.4509,0.284322845,0.007751048,56.55172126,0.76612935,24.30421823,23.4962195,0.996759809
12/10/2010,1.00,15.75,15.68,15.9,15.6,15.84,10090,24.54532188,23.50905,24.2517,24.4779,1.093564575,0.025693251,62.12860725,0.982511664,24.32993124,23.51078349,0.993589718
